Слово;Часть речи;Частота;Перевод;Пример предложения (татарча)
ул;N;229528;он/она/оно;Ул китап укый. (Он/она читает книгу.)
татар;N;86896;татарин;Мин татармын. (Я татарин.)
бик;ADV;80324;очень;Бу бик матур. (Это очень красиво.)
бар;N;74074;есть/имеется;Менда барлык кирәк. (Здесь есть всё нужное.)
казаң;N;72662;Казань;Казаң — зур шәһәр. (Казань — большой город.)
ук;PART;68458;частица (тоже);Ул ук килде. (Он тоже пришёл.)
алып;N;62015;взяв;Ул китапны алып китте. (Он взял книгу и ушёл.)
зур;ADJ;59688;большой;Бу йорт зур. (Этот дом большой.)
соң;POST;59510;после;Ашарга соң йоклыйсың. (После еды спишь.)
кеше;N;59189;человек;Бу кеше яхшы. (Этот человек хороший.)
дәүләт;N;59178;государство;Дәүләт хезмәтчесе. (Государственный служащий.)
ел;N;55699;год;Бу ел яхшы узды. (Этот год прошёл хорошо.)
без;N;54277;мы;Без татарча сөйләшәбез. (Мы говорим по-татарски.)
яңа;ADJ;51652;новый;Яңа йорт сатып алдык. (Мы купили новый дом.)
бит;PART;50456;частица (ведь);Ул бит килде. (Он ведь пришёл.)
иң;PART;49367;самый;Иң яхшы китап. (Самая лучшая книга.)
күп;ADJ;48493;много;Күп кеше килде. (Пришло много людей.)
бүген;ADV;46537;сегодня;Бүген яңгыр ява. (Сегодня идёт дождь.)
башка;N;42635;другой;Башка юлны сайла. (Выбери другой путь.)
хәзер;ADV;41527;сейчас;Хәзер эшлимә. (Сейчас не работаю.)
әлеге;ADJ;40918;этот;Әлеге йорт зур. (Этот дом большой.)
тагын;ADV;38998;ещё;Тагын бер китап кирәк. (Нужна ещё одна книга.)
эш;N;38871;работа;Эшкә барам. (Иду на работу.)
халык;N;37755;народ;Халык бәйрәм итә. (Народ празднует.)
авыл;N;36280;деревня;Авылда яшибез. (Мы живём в деревне.)
кадәр;ADV;34985;до;Кичке 6 кадәр эшлибез. (Работаем до 6 вечера.)
анда;ADV;34981;там;Анда кем бар? (Кто там?)
республика;N;34074;республика;Татарстан — республика. (Татарстан — республика.)
төрле;ADJ;31695;разный;Төрле китаплар укыйм. (Читаю разные книги.)
сүз;N;30229;слово;Бу сүзне беләсеңме? (Знаешь это слово?)
